id,Machine failure
136429,0.010758458042694215
136430,0.017041916405811375
136431,0.00621673129532223
136432,0.012518704728379583
136433,0.010273115842105527
136434,0.0050661011779727354
136435,0.05478221237297041
136436,0.027924588652380657
136437,0.004986170614509144
136438,0.00497925301542245
136439,0.0085489998058463
136440,0.009082136080130586
136441,0.009304580212944369
136442,0.005400888867523461
136443,0.007171272305087922
136444,0.018071235363443055
136445,0.0064291937292176886
136446,0.9958740881801879
136447,0.004819533932292305
136448,0.003857313279772109
136449,0.037659737960535324
136450,0.0049960010011110495
136451,0.0379018424169237
136452,0.30768007057129404
136453,0.00896171995933992
136454,0.0039822747080267545
136455,0.003835496457139736
136456,0.006638683643159213
136457,0.00928481216545077
136458,0.02263979077945289
136459,0.07284061627947888
136460,0.08541846623542783
136461,0.005501067269173257
136462,0.43628168573035214
136463,0.1026550248086795
136464,0.015730999553138857
136465,0.006975068340927092
136466,0.02173806793069619
136467,0.014419721651626477
136468,0.006298810456775112
136469,0.10967362627391854
136470,0.007291883406116583
136471,0.05884593735819398
136472,0.031222151500706303
136473,0.016348985663039273
136474,0.003125599728030584
136475,0.011518476645779435
136476,0.1893463484723343
136477,0.011295848302814875
136478,0.007770156578089905
136479,0.010440788921289103
136480,0.14293571303082483
136481,0.023876988792017304
136482,0.7814381925847865
136483,0.041334889752820576
136484,0.00852500621563022
136485,0.004549609363642386
136486,0.006094763212020449
136487,0.005136916117500283
136488,0.05797423997761702
136489,0.007279702944066999
136490,0.7207644966635786
136491,0.027924223452405375
136492,0.004562911770772108
136493,0.06891811044853188
136494,0.004300148324213348
136495,0.03366898573003511
136496,0.007405489825987814
136497,0.0056999143109043825
136498,0.09250261053941945
136499,0.004964213556494627
136500,0.008211517965717396
136501,0.005129507052448367
136502,0.008613088311107645
136503,0.018211298175713906
136504,0.007278033142095902
136505,0.018803483578039685
136506,0.009223818342584565
136507,0.009246781457169475
136508,0.01110491356325488
136509,0.02610757422722656
136510,0.003861955900972988
136511,0.030628752083116544
136512,0.004188606648149168
136513,0.023433936503582716
136514,0.006276228985684516
136515,0.008097825825367829
136516,0.0045861727863477
136517,0.01053015210125989
136518,0.004043365417512774
136519,0.007827976645011817
136520,0.028049843168166347
136521,0.006151416789205882
136522,0.030920721119414643
136523,0.004414269740627651
136524,0.004759304881175679
136525,0.005804090620355965
136526,0.019167138494746667
136527,0.016618610571971726
136528,0.005340638252416227
136529,0.019857019572344946
136530,0.07195252230860735
136531,0.011357739006177226
136532,0.004069159598712553
136533,0.11927795585858014
136534,0.0035470238309108122
136535,0.0045281070020439535
136536,0.012655118159993506
136537,0.00581615223908113
136538,0.019222880005922746
136539,0.014311090424962848
136540,0.0038880838252826474
136541,0.006191128569710627
136542,0.012490482465487968
136543,0.014413997181844346
136544,0.005793788842228639
136545,0.003964707094203894
136546,0.008371237991139199
136547,0.02687947130401104
136548,0.0049972293548403365
136549,0.01585428964696755
136550,0.018321158902262387
136551,0.005101341914229151
136552,0.004620186216230062
136553,0.0449831989717496
136554,0.0033653510551526966
136555,0.16710394346448
136556,0.008772568304063512
136557,0.009720615905818141
136558,0.019975766306232948
136559,0.007096518799846984
136560,0.06027951097179652
136561,0.008668031290815028
136562,0.016382953044101152
136563,0.004876110208612604
136564,0.004953439721266742
136565,0.05038918329478742
136566,0.007223858814121394
136567,0.014664620553219883
136568,0.007173726941687512
136569,0.005729375039745498
136570,0.009931825959604184
136571,0.08900903172142907
136572,0.015678072927104162
136573,0.00687577997520313
136574,0.020733103370639067
136575,0.014468006952011404
136576,0.00839735935849293
136577,0.01249922099323902
136578,0.00775671956712837
136579,0.1689667842330454
136580,0.0062000380157940455
136581,0.057407434116062535
136582,0.00653189887483336
136583,0.00612173951992719
136584,0.004030573485891308
136585,0.08816663877036474
136586,0.8518110997519739
136587,0.005962721093900046
136588,0.009989565876611553
136589,0.012482791955480934
136590,0.0064671853199679144
136591,0.08466017571101418
136592,0.12924782698938092
136593,0.08134232020234847
136594,0.004864307647292948
136595,0.005482818441901076
136596,0.005290914764565462
136597,0.006093190605057465
136598,0.004131220109377906
136599,0.0064520765393833186
136600,0.0048588844735459845
136601,0.049352318968906586
136602,0.016686714456817544
136603,0.1116440561741173
136604,0.005232444180858437
136605,0.045263445130260885
136606,0.265396108562561
136607,0.04440483141431193
136608,0.09921821687550879
136609,0.005059715448334641
136610,0.016185745202563658
136611,0.006723484242489399
136612,0.008228391754551851
136613,0.006915768803014791
136614,0.008337709121405008
136615,0.008237132265073832
136616,0.005077509491776452
136617,0.016940276933929854
136618,0.012746940382643712
136619,0.011663712789910874
136620,0.004353421676374292
136621,0.007529357637227891
136622,0.008751991318876558
