id,Age
74051,7.4272165
74052,7.642604
74053,10.637283
74054,9.421498
74055,7.374295
74056,12.202269
74057,10.979382
74058,7.941918
74059,12.683154
74060,10.3095045
74061,13.103975
74062,10.064318
74063,4.056046
74064,11.876302
74065,5.2093916
74066,5.7844462
74067,11.019421
74068,11.688119
74069,10.581177
74070,10.247108
74071,16.05512
74072,9.247051
74073,8.441714
74074,9.100319
74075,12.64777
74076,9.173706
74077,11.7105055
74078,10.975529
74079,9.000629
74080,11.049773
74081,10.950119
74082,10.737049
74083,10.133064
74084,11.519255
74085,10.899846
74086,7.012005
74087,9.195639
74088,10.249875
74089,8.553354
74090,9.508034
74091,7.353859
74092,9.568403
74093,10.137003
74094,9.804289
74095,16.746847
74096,11.607395
74097,6.393319
74098,5.8016596
74099,13.170777
74100,9.973738
74101,10.937013
74102,9.1824
74103,11.021494
74104,10.110006
74105,8.321908
74106,11.214815
74107,9.44538
74108,5.0248466
74109,9.135065
74110,5.405018
74111,10.600235
74112,6.672722
74113,8.275904
74114,10.567865
74115,9.189127
74116,10.604547
74117,12.450319
74118,10.289818
74119,8.673999
74120,16.96025
74121,9.797306
74122,6.6601877
74123,11.984947
74124,4.7897606
74125,7.1936793
74126,7.0329895
74127,11.592001
74128,10.538237
74129,8.98225
74130,10.184599
74131,10.226149
74132,7.4882107
74133,9.759608
74134,11.268315
74135,4.3028793
74136,6.324033
74137,5.2631702
74138,16.666256
74139,10.75046
74140,14.25217
74141,9.095016
74142,10.648603
74143,13.997072
74144,14.271082
74145,11.097528
74146,7.621715
74147,9.887862
74148,5.492354
74149,10.420207
74150,7.996258
74151,8.743095
74152,13.352032
74153,10.742024
74154,7.902053
74155,6.2211695
74156,11.477356
74157,10.8595295
74158,12.341425
74159,9.8314705
74160,12.639105
74161,10.016842
74162,9.430208
74163,9.820027
74164,9.523959
74165,10.210433
74166,9.011177
74167,10.924184
74168,10.328655
74169,11.760021
74170,10.155162
74171,12.719517
74172,11.145121
74173,7.510991
74174,11.196529
74175,9.560273
74176,9.183947
74177,10.334333
74178,11.326206
74179,12.4826565
74180,5.4442997
74181,8.349604
74182,10.027147
74183,7.181939
74184,11.063047
74185,11.869441
74186,10.071686
74187,9.601414
74188,12.374903
74189,5.6032653
74190,9.074015
74191,10.322365
74192,11.657851
74193,8.913096
74194,4.083662
74195,11.531143
74196,12.433973
74197,10.027786
74198,6.6664553
74199,9.5424595
74200,10.81443
74201,8.554805
74202,11.31595
74203,10.923792
74204,10.512189
74205,9.757259
74206,9.28434
74207,8.732908
74208,11.600126
74209,16.322098
74210,10.521335
74211,7.246831
