id,SalePrice
1461,122408.5
1462,163680.19
1463,188449.6
1464,192203.5
1465,186789.75
1466,173950.69
1467,174399.69
1468,165524.61
1469,181820.2
1470,127984.08
1471,204132.25
1472,96637.19
1473,97464.25
1474,151183.67
1475,132250.4
1476,401609.25
1477,253909.47
1478,287395.0
1479,278411.03
1480,493362.62
1481,311177.66
1482,203857.98
1483,177553.47
1484,167569.19
1485,177113.73
1486,188756.38
1487,362398.75
1488,230395.78
1489,212740.69
1490,201455.1
1491,187342.9
1492,92742.17
1493,191733.23
1494,294209.47
1495,282100.56
1496,230061.38
1497,190244.12
1498,157700.81
1499,154281.25
1500,153698.97
1501,184358.88
1502,157821.84
1503,295523.12
1504,236839.8
1505,221548.44
1506,185526.03
1507,240056.62
1508,211298.66
1509,157024.1
1510,151335.84
1511,144567.89
1512,169336.66
1513,150156.14
1514,167201.94
1515,192887.84
1516,150907.05
1517,159674.56
1518,125685.11
1519,218722.81
1520,134677.14
1521,136704.62
1522,162380.34
1523,114993.92
1524,125215.99
1525,123369.516
1526,115696.47
1527,110186.66
1528,134919.11
1529,147976.19
1530,172271.38
1531,121981.47
1532,94811.67
1533,146153.92
1534,121715.38
1535,154352.19
1536,108731.91
1537,65149.426
1538,170299.75
1539,208428.16
1540,101169.41
1541,141480.03
1542,142220.6
1543,220237.22
1544,81211.516
1545,107055.79
1546,129717.055
1547,135394.16
1548,133311.9
1549,117062.92
1550,133268.12
1551,111650.17
1552,142221.05
1553,141080.16
1554,116930.8
1555,176724.97
1556,85943.195
1557,105591.92
1558,96157.03
1559,88155.25
1560,140531.88
1561,141061.03
1562,128433.45
1563,123460.94
1564,157264.9
1565,149517.05
1566,239906.66
1567,72746.84
1568,232067.66
1569,149209.7
1570,135797.06
1571,127621.71
1572,144633.53
1573,254993.06
1574,111534.875
1575,204265.6
1576,236303.25
1577,198016.53
1578,148045.56
1579,140873.45
1580,194066.7
1581,159423.81
1582,125812.0
1583,334380.53
1584,221266.12
1585,140474.44
1586,75186.17
1587,91626.836
1588,151796.62
1589,95940.516
1590,135363.55
1591,90416.34
1592,122072.11
1593,126919.14
1594,163472.38
1595,111519.83
1596,243759.64
1597,183722.7
1598,208054.8
1599,179339.1
1600,172059.22
1601,68363.86
1602,106069.44
1603,93277.18
1604,274094.5
1605,242827.47
1606,172818.0
1607,168449.44
1608,215850.1
1609,190443.75
1610,160349.88
1611,136092.1
1612,155966.75
1613,162959.47
1614,117561.86
1615,85299.51
1616,69949.48
1617,86806.28
1618,124403.26
1619,144302.39
1620,156242.69
1621,140576.06
1622,144216.11
1623,279980.2
1624,210981.9
1625,124525.58
1626,160788.19
1627,189236.81
1628,272778.3
1629,179286.83
1630,358814.44
1631,216657.34
1632,240868.62
1633,169961.8
1634,184307.83
1635,179057.62
1636,151490.81
1637,189947.62
1638,197849.06
1639,179169.97
1640,253548.19
1641,171748.06
1642,238873.89
1643,216749.61
1644,230341.69
1645,183294.25
1646,157063.75
1647,161710.22
1648,132973.3
1649,143052.38
1650,121384.14
1651,124395.02
1652,96399.33
1653,97084.82
1654,148144.11
1655,152974.94
1656,144010.94
1657,150162.94
1658,145408.66
1659,139511.64
1660,154213.86
1661,445040.62
1662,399740.2
1663,365407.88
1664,493587.5
1665,297824.03
1666,335515.94
1667,376569.44
1668,327101.88
1669,289347.12
1670,352929.4
1671,259402.31
1672,484258.75
1673,297547.38
1674,246275.94
1675,187755.56
1676,186732.9
1677,215758.75
1678,477527.75
1679,415200.53
1680,323388.75
1681,247496.36
1682,316303.94
1683,181051.75
1684,165925.84
1685,169209.5
1686,167031.4
1687,169569.81
1688,186479.81
1689,190014.1
1690,192482.14
1691,179558.31
1692,265804.7
1693,170145.39
1694,183557.03
1695,164158.97
1696,265347.72
1697,169291.06
1698,339467.75
1699,323677.3
1700,250043.75
1701,263723.8
1702,252179.16
1703,247383.69
1704,277663.44
1705,232377.05
1706,432226.5
1707,230694.75
1708,214334.9
1709,271537.34
1710,222288.81
1711,260115.72
1712,253849.84
1713,264296.88
1714,225061.86
1715,211698.56
1716,183745.72
1717,172095.4
1718,128617.086
1719,202036.23
1720,254208.03
1721,165385.47
1722,117173.375
1723,151821.16
1724,210124.69
1725,233007.86
1726,184036.75
1727,153412.66
1728,175339.95
1729,168129.19
1730,160632.38
1731,116475.914
1732,126167.78
1733,117773.25
1734,124587.6
1735,127288.42
1736,116474.05
1737,334334.06
1738,226769.52
1739,279075.94
1740,212026.36
1741,190986.92
1742,172541.16
1743,162747.72
1744,296032.78
1745,241050.25
1746,222753.83
1747,217118.25
1748,220362.5
1749,155065.31
1750,127500.41
1751,239493.38
1752,118583.984
1753,142990.39
1754,188892.9
1755,167606.4
1756,130713.734
1757,120428.516
1758,143771.52
1759,163562.1
1760,162745.88
1761,143590.1
1762,176279.38
1763,168669.34
1764,115835.625
1765,162293.08
1766,161220.1
1767,203333.28
1768,141630.38
1769,181571.94
1770,146193.38
1771,121883.17
1772,136826.83
1773,146575.86
1774,131389.25
1775,142040.16
1776,124528.78
1777,117158.734
1778,138319.05
1779,113471.64
1780,172108.14
1781,126654.83
1782,94853.77
1783,138679.98
1784,107667.73
1785,123103.3
1786,148411.1
1787,165363.5
1788,56620.06
1789,99730.79
1790,85458.53
1791,178578.48
1792,156364.89
1793,132528.47
1794,149722.34
1795,142239.97
1796,127262.21
1797,109954.28
1798,125738.61
1799,112042.266
1800,129926.94
1801,132542.67
1802,129877.24
1803,140003.6
1804,145212.3
1805,137463.44
1806,117043.6
1807,138276.89
1808,129974.7
1809,114807.19
1810,135855.28
1811,101144.11
1812,95642.66
1813,125198.234
1814,94427.88
1815,46022.83
1816,93946.55
1817,108008.11
1818,156657.25
1819,131119.31
1820,56366.953
1821,117181.53
1822,149000.0
1823,40363.688
1824,136256.56
1825,141914.1
1826,104891.44
1827,101256.4
1828,131864.73
1829,120157.78
1830,142726.56
1831,157951.47
1832,87991.11
1833,140709.72
1834,124152.83
1835,137625.16
1836,126627.47
1837,90151.2
1838,128426.09
1839,94502.33
1840,176411.16
1841,145420.56
1842,84134.7
1843,132172.0
1844,138822.97
1845,137813.38
1846,152071.84
1847,159307.72
1848,49031.64
1849,111366.664
1850,120085.7
1851,155161.28
